County,Year,Population
Inyo                ,2024,18852
Kern                ,2024,918005
Kings               ,2024,153880
Lake                ,2024,67393
Lassen              ,2024,27912
Los Angeles ,2024,9848643
Madera              ,2024,161854
Marin               ,2024,254743
Mariposa            ,2024,16958
Mendocino           ,2024,89802
Merced              ,2024,291752
Modoc               ,2024,8509
Mono                ,2024,12888
Monterey            ,2024,436613
Napa                ,2024,135415
Nevada              ,2024,100903
Orange              ,2024,3170070
Placer              ,2024,420436
Plumas              ,2024,18802
Riverside           ,2024,2491037
Sacramento,2024,1596281
San Benito  ,2024,66514
San Bernardino    ,2024,2200351
San Diego           ,2024,3315362
San Francisco,2024,845355
San Joaquin,2024,802328
San Luis Obispo     ,2024,279568
San Mateo           ,2024,747777
Santa Barbara       ,2024,444518
Santa Clara         ,2024,1921406
Santa Cruz          ,2024,263454
Shasta              ,2024,180599
Sierra              ,2024,3177
Siskiyou            ,2024,43430
Solano              ,2024,449966
Sonoma              ,2024,482050
Stanislaus          ,2024,553614
Sutter              ,2024,99431
Tehama              ,2024,64867
Trinity             ,2024,15905
Tulare              ,2024,483683
Tuolumne            ,2024,54376
Ventura             ,2024,828183
Yolo                ,2024,224088
Yuba                ,2024,84667
County,2025,1/1/2025
Alameda             ,2025,1662482
Alpine              ,2025,1177
Amador              ,2025,39563
Butte               ,2025,207525
Calaveras           ,2025,44722
Colusa              ,2025,22026
Contra Costa        ,2025,1158225
Del Norte,2025,26544
El Dorado           ,2025,190770
Fresno              ,2025,1037053
Glenn               ,2025,29369
Humboldt            ,2025,133817
Imperial            ,2025,186499
Inyo                ,2025,18800
Kern                ,2025,923961
Kings               ,2025,154015
Lake                ,2025,67254
Lassen              ,2025,28716
Los Angeles ,2025,9876811
Madera              ,2025,162599
Marin               ,2025,254550
Mariposa            ,2025,16917
Mendocino           ,2025,89827
Merced              ,2025,293080
Modoc               ,2025,8491
Mono                ,2025,12684
Monterey            ,2025,438831
Napa                ,2025,136124
Nevada              ,2025,100354
Orange              ,2025,3175427
Placer              ,2025,421446
Plumas              ,2025,18885
Riverside           ,2025,2495640
Sacramento,2025,1604745
San Benito  ,2025,66822
San Bernardino    ,2025,2207424
San Diego           ,2025,3330139
San Francisco,2025,842027
San Joaquin,2025,805856
San Luis Obispo     ,2025,279337
San Mateo           ,2025,748337
Santa Barbara       ,2025,447132
Santa Clara         ,2025,1922259
Santa Cruz          ,2025,263710
Shasta              ,2025,180201
Sierra              ,2025,3170
Siskiyou            ,2025,43311
Solano              ,2025,449839
Sonoma              ,2025,482848
Stanislaus          ,2025,555765
Sutter              ,2025,100257
Tehama              ,2025,64827
Trinity             ,2025,15884
Tulare              ,2025,487209
Tuolumne            ,2025,54357
Ventura             ,2025,829005
Yolo                ,2025,225433
Yuba                ,2025,85023
