Enrollment Month,Plan Type,County,Plan Name, Count of Enrollees ,Count of Enrollees Annotation Code,Count of Enrollees Annotation Description
2007-01,COHS,Orange,CalOPTIMA / Orange,"293,311",None,None
2007-01,COHS,Monterey,Central California Alliance for Health/Monterey,"53,819",None,None
2007-01,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"30,653",None,None
2007-01,COHS,San Mateo,Hlth Plan of San Mateo,"49,791",None,None
2007-01,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"23,515",None,None
2007-01,COHS,Napa,Partnership HP of CA/Napa,"10,788",None,None
2007-01,COHS,Solano,Partnership HP of CA/Solano,"51,874",None,None
2007-01,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"54,248",None,None
2007-01,Dental,Los Angeles,Access Dental Plan/LA,"61,119",None,None
2007-01,Dental,Sacramento,Access Dental Plan/Sacto,"50,974",None,None
2007-01,Dental,Los Angeles,American Health Guard - Dental/LA,"15,430",None,None
2007-01,Dental,Los Angeles,Care1st Health Plan Dental,"15,820",None,None
2007-01,Dental,San Bernardino,Care1st Health Plan Dental,208,None,None
2007-01,Dental,Los Angeles,Community Dental Svcs Inc (LA),"5,202",None,None
2007-01,Dental,Sacramento,Community Dental Svcs./Sacto,"13,220",None,None
2007-01,Dental,Los Angeles,Health Net of California,"30,568",None,None
2007-01,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"5,549",None,None
2007-01,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"25,018",None,None
2007-01,Dental,Los Angeles,Safeguard Dental Inc.,"28,905",None,None
2007-01,Dental,Riverside,Safeguard Dental Inc.,129,None,None
2007-01,Dental,San Bernardino,Safeguard Dental Inc.,772,None,None
2007-01,Dental,Riverside,Western Dental Svcs (Riverside),266,None,None
2007-01,Dental,San Bernardino,Western Dental Svcs (San Bernardino),569,None,None
2007-01,Dental,Los Angeles,Western Dental Svcs/LA,"53,277",None,None
2007-01,Dental,Sacramento,Western Dental Svcs/Sacto,"74,173",None,None
2007-01,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"82,233",None,None
2007-01,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,"25,608",None,None
2007-01,Geographic Managed Care,Sacramento,Care 1st Healthplan,"4,300",None,None
2007-01,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"2,627",None,None
2007-01,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"70,093",None,None
2007-01,Geographic Managed Care,Sacramento,Health Net/Sac,"27,891",None,None
2007-01,Geographic Managed Care,San Diego ,Health Net/San Diego,"15,422",None,None
2007-01,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"19,657",None,None
2007-01,Geographic Managed Care,San Diego ,Kaiser/San Diego,"9,663",None,None
2007-01,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,"15,986",None,None
2007-01,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,"45,366",None,None
2007-01,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,"12,260",None,None
2007-01,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,85,None,None
2007-01,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,933,None,None
2007-01,Prepaid Health Plan,Marin,Kaiser/Marin,598,None,None
2007-01,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,"1,452",None,None
2007-01,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,802,None,None
2007-01,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,"1,593",None,None
2007-01,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,509,None,None
2007-01,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,242,None,None
2007-01,SCAN,Los Angeles,SCAN Hlth Plan / LA,"2,265",None,None
2007-01,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,570,None,None
2007-01,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,268,None,None
2007-01,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,396,None,None
2007-01,Special Project,Contra Costa,Center for Elders Independence,26,None,None
2007-01,Special Project,Alameda,Cntr Elders Indep/Alameda,372,None,None
2007-01,Special Project,San Francisco,Family Mosaic Prj / SF,136,None,None
2007-01,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-01,Special Project,Sacramento,Sutter SeniorCare/Sac,188,None,None
2007-01,Two-Plan,Alameda,Alameda Alliance for Hlth,"73,072",None,None
2007-01,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,"27,670",None,None
2007-01,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,"10,421",None,None
2007-01,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,"143,766",None,None
2007-01,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,"27,219",None,None
2007-01,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,"33,035",None,None
2007-01,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,"12,159",None,None
2007-01,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,"45,381",None,None
2007-01,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,"69,603",None,None
2007-01,Two-Plan,Contra Costa,Contra Costa Hlth Plan,"43,233",None,None
2007-01,Two-Plan,Los Angeles,Health Net / LA,"440,576",None,None
2007-01,Two-Plan,Fresno,Health Net /Fresno,"26,584",None,None
2007-01,Two-Plan,Kern,Health Net/Kern,"21,626",None,None
2007-01,Two-Plan,Stanislaus,Health Net/Stanislaus,"13,340",None,None
2007-01,Two-Plan,Tulare,Health Net/Tulare,"15,262",None,None
2007-01,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,"56,367",None,None
2007-01,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,"120,010",None,None
2007-01,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,"131,480",None,None
2007-01,Two-Plan,Kern,Kern Hlth Systems,"91,896",None,None
2007-01,Two-Plan,Los Angeles,LA CARE,"737,412",None,None
2007-01,Two-Plan,Riverside,Molina Healthcare of California/Riverside,"33,277",None,None
2007-01,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,"50,319",None,None
2007-01,Two-Plan,San Francisco,San Francisco Hlth Plan,"31,385",None,None
2007-01,Two-Plan,Santa Clara,Santa Clara Family Hlth,"72,569",None,None
2007-02,COHS,Orange,CalOPTIMA / Orange,"292,974",None,None
2007-02,COHS,Monterey,Central California Alliance for Health/Monterey,"54,575",None,None
2007-02,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"30,654",None,None
2007-02,COHS,San Mateo,Hlth Plan of San Mateo,"49,763",None,None
2007-02,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"23,562",None,None
2007-02,COHS,Napa,Partnership HP of CA/Napa,"10,873",None,None
2007-02,COHS,Solano,Partnership HP of CA/Solano,"51,787",None,None
2007-02,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"54,163",None,None
2007-02,Dental,Los Angeles,Access Dental Plan/LA,"61,129",None,None
2007-02,Dental,Sacramento,Access Dental Plan/Sacto,"50,779",None,None
2007-02,Dental,Los Angeles,American Health Guard - Dental/LA,"16,152",None,None
2007-02,Dental,Los Angeles,Care1st Health Plan Dental,"15,985",None,None
2007-02,Dental,San Bernardino,Care1st Health Plan Dental,204,None,None
2007-02,Dental,Los Angeles,Community Dental Svcs Inc (LA),"5,210",None,None
2007-02,Dental,Sacramento,Community Dental Svcs./Sacto,"13,169",None,None
2007-02,Dental,Los Angeles,Health Net of California,"30,564",None,None
2007-02,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"5,790",None,None
2007-02,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"25,090",None,None
2007-02,Dental,Los Angeles,Safeguard Dental Inc.,"28,548",None,None
2007-02,Dental,Riverside,Safeguard Dental Inc.,126,None,None
2007-02,Dental,San Bernardino,Safeguard Dental Inc.,764,None,None
2007-02,Dental,Riverside,Western Dental Svcs (Riverside),256,None,None
2007-02,Dental,San Bernardino,Western Dental Svcs (San Bernardino),551,None,None
2007-02,Dental,Los Angeles,Western Dental Svcs/LA,"53,136",None,None
2007-02,Dental,Sacramento,Western Dental Svcs/Sacto,"73,949",None,None
2007-02,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"81,991",None,None
2007-02,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,"25,874",None,None
2007-02,Geographic Managed Care,Sacramento,Care 1st Healthplan,"4,342",None,None
2007-02,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"2,755",None,None
2007-02,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"70,000",None,None
2007-02,Geographic Managed Care,Sacramento,Health Net/Sac,"27,661",None,None
2007-02,Geographic Managed Care,San Diego ,Health Net/San Diego,"15,610",None,None
2007-02,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"19,727",None,None
2007-02,Geographic Managed Care,San Diego ,Kaiser/San Diego,"9,691",None,None
2007-02,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,"15,885",None,None
2007-02,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,"44,956",None,None
2007-02,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,"12,245",None,None
2007-02,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,83,None,None
2007-02,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,925,None,None
2007-02,Prepaid Health Plan,Marin,Kaiser/Marin,603,None,None
2007-02,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,"1,437",None,None
2007-02,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,805,None,None
2007-02,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,"1,614",None,None
2007-02,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,512,None,None
2007-02,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,244,None,None
2007-02,SCAN,Los Angeles,SCAN Hlth Plan / LA,"2,321",None,None
2007-02,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,609,None,None
2007-02,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,279,None,None
2007-02,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,395,None,None
2007-02,Special Project,Contra Costa,Center for Elders Independence,25,None,None
2007-02,Special Project,Alameda,Cntr Elders Indep/Alameda,367,None,None
2007-02,Special Project,San Francisco,Family Mosaic Prj / SF,132,None,None
2007-02,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-02,Special Project,Sacramento,Sutter SeniorCare/Sac,189,None,None
2007-02,Two-Plan,Alameda,Alameda Alliance for Hlth,"72,877",None,None
2007-02,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,"27,573",None,None
2007-02,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,"10,264",None,None
2007-02,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,"143,064",None,None
2007-02,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,"27,086",None,None
2007-02,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,"32,929",None,None
2007-02,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,"12,090",None,None
2007-02,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,"45,266",None,None
2007-02,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,"70,276",None,None
2007-02,Two-Plan,Contra Costa,Contra Costa Hlth Plan,"43,200",None,None
2007-02,Two-Plan,Los Angeles,Health Net / LA,"437,428",None,None
2007-02,Two-Plan,Fresno,Health Net /Fresno,"26,547",None,None
2007-02,Two-Plan,Kern,Health Net/Kern,"21,730",None,None
2007-02,Two-Plan,Stanislaus,Health Net/Stanislaus,"13,414",None,None
2007-02,Two-Plan,Tulare,Health Net/Tulare,"15,413",None,None
2007-02,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,"56,681",None,None
2007-02,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,"120,623",None,None
2007-02,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,"132,550",None,None
2007-02,Two-Plan,Kern,Kern Hlth Systems,"92,458",None,None
2007-02,Two-Plan,Los Angeles,LA CARE,"736,943",None,None
2007-02,Two-Plan,Riverside,Molina Healthcare of California/Riverside,"33,340",None,None
2007-02,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,"50,495",None,None
2007-02,Two-Plan,San Francisco,San Francisco Hlth Plan,"31,531",None,None
2007-02,Two-Plan,Santa Clara,Santa Clara Family Hlth,"72,582",None,None
2007-03,COHS,Orange,CalOPTIMA / Orange,"294,687",None,None
2007-03,COHS,Monterey,Central California Alliance for Health/Monterey,"54,405",None,None
2007-03,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"30,774",None,None
2007-03,COHS,San Mateo,Hlth Plan of San Mateo,"49,777",None,None
2007-03,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"23,590",None,None
2007-03,COHS,Napa,Partnership HP of CA/Napa,"10,770",None,None
2007-03,COHS,Solano,Partnership HP of CA/Solano,"51,895",None,None
2007-03,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"54,100",None,None
2007-03,Dental,Los Angeles,Access Dental Plan/LA,"60,855",None,None
2007-03,Dental,Sacramento,Access Dental Plan/Sacto,"50,562",None,None
2007-03,Dental,Los Angeles,American Health Guard - Dental/LA,"17,305",None,None
2007-03,Dental,Los Angeles,Care1st Health Plan Dental,"16,058",None,None
2007-03,Dental,San Bernardino,Care1st Health Plan Dental,202,None,None
2007-03,Dental,Los Angeles,Community Dental Svcs Inc (LA),"5,188",None,None
2007-03,Dental,Sacramento,Community Dental Svcs./Sacto,"13,050",None,None
2007-03,Dental,Los Angeles,Health Net of California,"30,470",None,None
2007-03,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"5,810",None,None
2007-03,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"25,049",None,None
2007-03,Dental,Los Angeles,Safeguard Dental Inc.,"28,057",None,None
2007-03,Dental,Riverside,Safeguard Dental Inc.,125,None,None
2007-03,Dental,San Bernardino,Safeguard Dental Inc.,760,None,None
2007-03,Dental,Riverside,Western Dental Svcs (Riverside),251,None,None
2007-03,Dental,San Bernardino,Western Dental Svcs (San Bernardino),547,None,None
2007-03,Dental,Los Angeles,Western Dental Svcs/LA,"52,548",None,None
2007-03,Dental,Sacramento,Western Dental Svcs/Sacto,"73,821",None,None
2007-03,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"81,684",None,None
2007-03,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,"26,035",None,None
2007-03,Geographic Managed Care,Sacramento,Care 1st Healthplan,"4,349",None,None
2007-03,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"2,795",None,None
2007-03,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"69,566",None,None
2007-03,Geographic Managed Care,Sacramento,Health Net/Sac,"27,463",None,None
2007-03,Geographic Managed Care,San Diego ,Health Net/San Diego,"15,548",None,None
2007-03,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"19,757",None,None
2007-03,Geographic Managed Care,San Diego ,Kaiser/San Diego,"9,700",None,None
2007-03,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,"15,776",None,None
2007-03,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,"44,292",None,None
2007-03,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,"12,174",None,None
2007-03,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,85,None,None
2007-03,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,932,None,None
2007-03,Prepaid Health Plan,Marin,Kaiser/Marin,601,None,None
2007-03,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,"1,456",None,None
2007-03,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,818,None,None
2007-03,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,"1,633",None,None
2007-03,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,511,None,None
2007-03,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,250,None,None
2007-03,SCAN,Los Angeles,SCAN Hlth Plan / LA,"2,287",None,None
2007-03,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,621,None,None
2007-03,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,279,None,None
2007-03,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,396,None,None
2007-03,Special Project,Contra Costa,Center for Elders Independence,21,None,None
2007-03,Special Project,Alameda,Cntr Elders Indep/Alameda,367,None,None
2007-03,Special Project,San Francisco,Family Mosaic Prj / SF,133,None,None
2007-03,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-03,Special Project,Sacramento,Sutter SeniorCare/Sac,184,None,None
2007-03,Two-Plan,Alameda,Alameda Alliance for Hlth,"72,837",None,None
2007-03,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,"27,332",None,None
2007-03,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,"10,101",None,None
2007-03,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,"141,864",None,None
2007-03,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,"26,945",None,None
2007-03,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,"32,665",None,None
2007-03,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,"12,022",None,None
2007-03,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,"44,909",None,None
2007-03,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,"70,793",None,None
2007-03,Two-Plan,Contra Costa,Contra Costa Hlth Plan,"43,143",None,None
2007-03,Two-Plan,Los Angeles,Health Net / LA,"432,018",None,None
2007-03,Two-Plan,Fresno,Health Net /Fresno,"26,862",None,None
2007-03,Two-Plan,Kern,Health Net/Kern,"21,409",None,None
2007-03,Two-Plan,Stanislaus,Health Net/Stanislaus,"13,383",None,None
2007-03,Two-Plan,Tulare,Health Net/Tulare,"15,355",None,None
2007-03,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,"56,696",None,None
2007-03,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,"120,962",None,None
2007-03,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,"132,904",None,None
2007-03,Two-Plan,Kern,Kern Hlth Systems,"91,286",None,None
2007-03,Two-Plan,Los Angeles,LA CARE,"733,807",None,None
2007-03,Two-Plan,Riverside,Molina Healthcare of California/Riverside,"33,059",None,None
2007-03,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,"49,953",None,None
2007-03,Two-Plan,San Francisco,San Francisco Hlth Plan,"31,537",None,None
2007-03,Two-Plan,Santa Clara,Santa Clara Family Hlth,"72,727",None,None
2007-04,COHS,Orange,CalOPTIMA / Orange,"295,224",None,None
2007-04,COHS,Monterey,Central California Alliance for Health/Monterey,"54,525",None,None
2007-04,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"30,913",None,None
2007-04,COHS,San Mateo,Hlth Plan of San Mateo,"50,091",None,None
2007-04,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"23,916",None,None
2007-04,COHS,Napa,Partnership HP of CA/Napa,"10,770",None,None
2007-04,COHS,Solano,Partnership HP of CA/Solano,"52,116",None,None
2007-04,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"54,346",None,None
2007-04,Dental,Los Angeles,Access Dental Plan/LA,"60,754",None,None
2007-04,Dental,Sacramento,Access Dental Plan/Sacto,"50,822",None,None
2007-04,Dental,Los Angeles,American Health Guard - Dental/LA,"17,859",None,None
2007-04,Dental,Los Angeles,Care1st Health Plan Dental,"16,415",None,None
2007-04,Dental,San Bernardino,Care1st Health Plan Dental,196,None,None
2007-04,Dental,Los Angeles,Community Dental Svcs Inc (LA),"5,268",None,None
2007-04,Dental,Sacramento,Community Dental Svcs./Sacto,"13,023",None,None
2007-04,Dental,Los Angeles,Health Net of California,"30,924",None,None
2007-04,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"5,912",None,None
2007-04,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"25,266",None,None
2007-04,Dental,Los Angeles,Safeguard Dental Inc.,"27,742",None,None
2007-04,Dental,Riverside,Safeguard Dental Inc.,122,None,None
2007-04,Dental,San Bernardino,Safeguard Dental Inc.,745,None,None
2007-04,Dental,Riverside,Western Dental Svcs (Riverside),247,None,None
2007-04,Dental,San Bernardino,Western Dental Svcs (San Bernardino),525,None,None
2007-04,Dental,Los Angeles,Western Dental Svcs/LA,"52,684",None,None
2007-04,Dental,Sacramento,Western Dental Svcs/Sacto,"73,904",None,None
2007-04,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"82,063",None,None
2007-04,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,"26,616",None,None
2007-04,Geographic Managed Care,Sacramento,Care 1st Healthplan,"4,441",None,None
2007-04,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),"2,966",None,None
2007-04,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,"70,067",None,None
2007-04,Geographic Managed Care,Sacramento,Health Net/Sac,"27,322",None,None
2007-04,Geographic Managed Care,San Diego ,Health Net/San Diego,"15,868",None,None
2007-04,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,"19,942",None,None
2007-04,Geographic Managed Care,San Diego ,Kaiser/San Diego,"9,695",None,None
2007-04,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,"15,680",None,None
2007-04,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,"44,046",None,None
2007-04,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,"12,259",None,None
2007-04,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,81,None,None
2007-04,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,931,None,None
2007-04,Prepaid Health Plan,Marin,Kaiser/Marin,611,None,None
2007-04,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,"1,512",None,None
2007-04,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,826,None,None
2007-04,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,"1,658",None,None
2007-04,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,504,None,None
2007-04,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,255,None,None
2007-04,SCAN,Los Angeles,SCAN Hlth Plan / LA,"2,260",None,None
2007-04,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,612,None,None
2007-04,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,268,None,None
2007-04,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,397,None,None
2007-04,Special Project,Contra Costa,Center for Elders Independence,20,None,None
2007-04,Special Project,Alameda,Cntr Elders Indep/Alameda,369,None,None
2007-04,Special Project,San Francisco,Family Mosaic Prj / SF,133,None,None
2007-04,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-04,Special Project,Sacramento,Sutter SeniorCare/Sac,179,None,None
2007-04,Two-Plan,Alameda,Alameda Alliance for Hlth,"73,091",None,None
2007-04,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,"27,334",None,None
2007-04,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,"10,246",None,None
2007-04,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,"142,975",None,None
2007-04,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,"26,880",None,None
2007-04,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,"32,484",None,None
2007-04,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,"12,028",None,None
2007-04,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,"44,975",None,None
2007-04,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,"71,895",None,None
2007-04,Two-Plan,Contra Costa,Contra Costa Hlth Plan,"43,816",None,None
2007-04,Two-Plan,Los Angeles,Health Net / LA,"430,482",None,None
2007-04,Two-Plan,Fresno,Health Net /Fresno,"26,688",None,None
2007-04,Two-Plan,Kern,Health Net/Kern,"21,750",None,None
2007-04,Two-Plan,Stanislaus,Health Net/Stanislaus,"13,520",None,None
2007-04,Two-Plan,Tulare,Health Net/Tulare,"15,484",None,None
2007-04,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,"57,009",None,None
2007-04,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,"122,443",None,None
2007-04,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,"134,146",None,None
2007-04,Two-Plan,Kern,Kern Hlth Systems,"91,736",None,None
2007-04,Two-Plan,Los Angeles,LA CARE,"737,281",None,None
2007-04,Two-Plan,Riverside,Molina Healthcare of California/Riverside,"32,908",None,None
2007-04,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,"49,483",None,None
2007-04,Two-Plan,San Francisco,San Francisco Hlth Plan,"31,717",None,None
2007-04,Two-Plan,Santa Clara,Santa Clara Family Hlth,"73,430",None,None
2007-05,COHS,Orange,CalOPTIMA / Orange,"295,636",None,None
2007-05,COHS,Monterey,Central California Alliance for Health/Monterey,"55,106",None,None
2007-05,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,"31,000",None,None
2007-05,COHS,San Mateo,Hlth Plan of San Mateo,"50,073",None,None
2007-05,COHS,Yolo,Partnership HealthPlan of CA/Yolo,"23,654",None,None
2007-05,COHS,Napa,Partnership HP of CA/Napa,"10,865",None,None
2007-05,COHS,Solano,Partnership HP of CA/Solano,"52,213",None,None
2007-05,COHS,Santa Barbara,Santa Barbara Hlth Authrty,"54,434",None,None
2007-05,Dental,Los Angeles,Access Dental Plan/LA,"61,428",None,None
2007-05,Dental,Sacramento,Access Dental Plan/Sacto,"50,933",None,None
2007-05,Dental,Los Angeles,American Health Guard - Dental/LA,"17,903",None,None
2007-05,Dental,Los Angeles,Care1st Health Plan Dental,"16,801",None,None
2007-05,Dental,San Bernardino,Care1st Health Plan Dental,191,None,None
2007-05,Dental,Los Angeles,Community Dental Svcs Inc (LA),"5,353",None,None
2007-05,Dental,Sacramento,Community Dental Svcs./Sacto,"13,089",None,None
2007-05,Dental,Los Angeles,Health Net of California,"31,434",None,None
2007-05,Dental,Los Angeles,Liberty Dental Plan of CA (LA),"6,045",None,None
2007-05,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,"25,510",None,None
2007-05,Dental,Los Angeles,Safeguard Dental Inc.,"27,487",None,None
2007-05,Dental,Riverside,Safeguard Dental Inc.,119,None,None
2007-05,Dental,San Bernardino,Safeguard Dental Inc.,733,None,None
2007-05,Dental,Riverside,Western Dental Svcs (Riverside),245,None,None
2007-05,Dental,San Bernardino,Western Dental Svcs (San Bernardino),516,None,None
2007-05,Dental,Los Angeles,Western Dental Svcs/LA,"52,955",None,None
2007-05,Dental,Sacramento,Western Dental Svcs/Sacto,"74,227",None,None
2007-05,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,"82,607",None,None
