county_fips,County,population,num_uninsured,num_insured,pct_uninsured,pct_uninsured_moe,year
00005,Amador,11661,1502,10158,12.9,1.5,2008
00005,Amador,2203,751,1452,34.1,4.3,2008
00005,Amador,2998,925,2072,30.9,3.7,2008
00005,Amador,1303,486,817,37.3,5.2,2008
00005,Amador,5545,1238,4308,22.3,2.6,2008
00005,Amador,5513,753,4760,13.7,2.3,2008
00005,Amador,1366,449,917,32.9,5.3,2008
00005,Amador,2774,1039,1735,37.5,5.9,2008
00005,Amador,6148,749,5398,12.2,2.1,2008
00005,Amador,1201,389,813,32.4,6.0,2008
00005,Amador,1632,476,1156,29.2,5.1,2008
00005,Amador,720,254,465,35.3,7.3,2008
00005,Amador,3000,630,2370,21.0,3.5,2008
00005,Amador,6410,558,5852,8.7,1.8,2008
00005,Amador,2098,307,1792,14.6,3.5,2008
00005,Amador,2796,387,2409,13.9,3.1,2008
00005,Amador,1288,194,1094,15.1,4.1,2008
00005,Amador,4451,496,3955,11.2,2.3,2008
00005,Amador,583,232,351,39.7,7.4,2008
00005,Amador,10612,1821,8791,17.2,2.5,2008
00005,Amador,2545,608,1938,23.9,3.8,2008
00005,Amador,1351,627,725,46.4,7.0,2008
00005,Amador,26757,4370,22387,16.3,1.5,2008
00005,Amador,7024,2300,4724,32.7,3.3,2008
00005,Amador,9283,2806,6477,30.2,2.9,2008
00005,Amador,4331,1518,2813,35.0,3.9,2008
00005,Amador,15569,3672,11897,23.6,2.1,2008
00005,Amador,13187,2292,10895,17.4,2.3,2008
00005,Amador,3250,1119,2131,34.4,4.5,2008
00005,Amador,4367,1388,2980,31.8,3.9,2008
00005,Amador,1965,715,1249,36.4,5.3,2008
00005,Amador,7473,1872,5601,25.1,3.0,2008
00005,Amador,13570,2078,11492,15.3,2.0,2008
00005,Amador,5354,1652,3701,30.9,4.0,2008
00005,Amador,4915,1418,3497,28.9,4.0,2008
00005,Amador,2267,982,1285,43.3,5.9,2008
00005,Amador,10116,2045,8072,20.2,2.9,2008
00005,Amador,11365,3222,8143,28.4,2.8,2008
00005,Amador,3120,1341,1779,43.0,5.1,2008
00005,Amador,6643,2454,4188,36.9,3.8,2008
00005,Amador,3029,1213,1816,40.0,5.3,2008
00005,Amador,20729,3866,16862,18.7,1.9,2008
00005,Amador,8096,1799,6296,22.2,2.9,2008
00005,Amador,2366,802,1564,33.9,5.5,2008
00005,Amador,3775,1182,2593,31.3,4.6,2008
00005,Amador,5041,2021,3020,40.1,4.3,2008
00007,Butte,11325,3148,8177,27.8,4.2,2008
00007,Butte,34641,8960,25681,25.9,3.6,2008
00007,Butte,20834,5373,15460,25.8,4.4,2008
00007,Butte,48422,11352,37071,23.4,2.9,2008
00007,Butte,19406,5091,14315,26.2,3.1,2008
00007,Butte,24483,6245,18238,25.5,2.8,2008
00007,Butte,12878,3375,9503,26.2,3.5,2008
00007,Butte,38054,8331,29723,21.9,2.2,2008
00007,Butte,30505,5104,25401,16.7,2.3,2008
00007,Butte,8942,2563,6379,28.7,4.6,2008
00007,Butte,5872,1693,4178,28.8,5.3,2008
00007,Butte,20044,4081,15963,20.4,2.9,2008
00007,Butte,32520,4789,27731,14.7,2.1,2008
00007,Butte,10464,2529,7936,24.2,4.1,2008
