table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Intercensal Estimates of the Resident Population for Counties in California: April 1, 2010 to April 1, 2020",,,,,,,,,,,,
Geographic Area,"April 1, 2010  Estimates Base",Population Estimate (as of July 1),,,,,,,,,,"April 1, 2020 Census"
,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
".Siskiyou County, California","44,899","44,958","44,709","44,248","43,776","43,652","43,640","43,837","44,152","44,198","44,307","44,077"
".Solano County, California","413,343","414,115","417,085","421,014","425,611","431,556","436,571","442,637","447,964","450,949","453,060","453,490"
".Sonoma County, California","483,866","484,628","486,997","489,361","493,259","497,518","499,611","501,269","500,840","495,669","490,579","488,866"
".Stanislaus County, California","514,451","515,199","517,825","520,895","524,121","528,870","534,258","540,539","546,295","549,905","552,059","552,876"
".Sutter County, California","94,751","94,818","94,845","94,835","95,443","96,010","96,815","97,664","98,360","98,849","99,714","99,626"
".Tehama County, California","63,441","63,590","63,478","63,467","63,244","63,276","63,742","64,173","64,645","64,835","66,230","65,826"
".Trinity County, California","13,782","13,851","14,167","14,363","14,681","14,766","15,120","15,240","15,526","15,783","15,908","16,113"
".Tulare County, California","442,176","443,074","447,313","450,715","453,832","456,915","459,335","462,017","465,582","468,272","470,229","473,116"
".Tuolumne County, California","55,344","55,192","54,948","54,454","54,339","54,306","54,188","54,430","54,767","55,175","55,327","55,623"
".Ventura County, California","823,446","825,173","830,053","833,548","838,106","842,606","846,209","847,646","849,106","848,179","845,277","843,853"
".Yolo County, California","200,855","200,971","201,480","203,745","205,093","206,833","210,102","213,311","215,851","217,102","216,678","216,397"
".Yuba County, California","72,142","72,389","72,702","73,169","73,658","74,280","74,969","76,028","77,860","78,881","80,188","81,573"
"2010-2020 Intercensal Estimates data products are associated with Data Management System projects P-6000042, P-7501659, and P-7527355. The U.S. Census Bureau reviewed these data products for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY24-0481).    ",,,,,,,,,,,,
"The April 1, 2010 population estimates base reflects changes to the 2010 Census population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions. The data source for April 1, 2020 is the 2020 Census count featuring the application of disclosure avoidance to protect confidentiality. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2010-2020 Intercensal Estimates series are as of 2020.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Intercensal Estimates of the Resident Population for Counties in California: April 1, 2010 to April 1, 2020 (CO-EST2020INT-POP-06)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: November 2024,,,,,,,,,,,,
